cartridge,sample_ID,sample_date,tijdstip,match,ct_value,detected,detected_raw
97233C,SA_1,2024-12-17,2024-12-17T00:00:00Z,1,35.7,TRUE,TRUE
A2F54C,SA_12,2025-03-04,2025-03-04T14:07:00Z,12,36.5,TRUE,TRUE
A2F74A,SA_19,2025-04-29,2025-04-29T00:00:00Z,20,NA,TRUE,FALSE
A3073E,SA_17,2025-04-15,2025-04-15T00:00:00Z,18,NA,TRUE,FALSE
A3143B,SA_8,2025-02-04,2025-02-04T00:00:00Z,8,33.2,TRUE,TRUE
A31740,SA_16,2025-04-08,2025-04-08T00:00:00Z,17,NA,TRUE,FALSE
A32640,SA_18,2025-04-22,2025-04-22T00:00:00Z,19,NA,TRUE,FALSE
A3353C,SA_6,2025-01-21,2025-01-21T00:00:00Z,6,34.1,TRUE,TRUE
AA5548,SA_4,2025-01-07,2025-01-07T00:00:00Z,4,36.7,TRUE,TRUE
AA5646,SA_3,2024-12-31,2024-12-31T00:00:00Z,3,36,TRUE,TRUE
AB0240,SA_2,2024-12-24,2024-12-24T00:00:00Z,2,35.9,TRUE,TRUE
AC944E,SA_9,2025-02-11,2025-02-11T00:00:00Z,9,35.3,TRUE,TRUE
AC9C56,SA_7,2025-01-28,2025-01-28T00:00:00Z,7,32.5,TRUE,TRUE
ACB756,SA_15,2025-04-01,2025-04-01T00:00:00Z,16,NA,TRUE,FALSE
AD2548,SA_10,2025-02-18,2025-02-18T00:00:00Z,10,33.6,TRUE,TRUE
AD5144,SA_13,2025-03-18,2025-03-18T00:00:00Z,14,36.3,TRUE,TRUE
AD7956,SA_5,2025-01-14,2025-01-14T14:49:00Z,5,34.2,TRUE,TRUE
AD8D60,SA_14,2025-03-25,2025-03-25T00:00:00Z,15,33.7,TRUE,TRUE
AD9148,SA_11,2025-02-25,2025-02-25T12:09:00Z,11,35,TRUE,TRUE
