Pathogen,Date,CT_value,sample_ID,date_parsed,match,date_diff_days
Influenza A virus,2024-12-12,37.3,W147,2024-12-17,1,5
Influenza A virus,2024-12-25,35.9,W148,2024-12-23,2,2
Influenza A virus,2025-01-02,33.8,W149,2024-12-31,3,2
Influenza A virus,2025-01-08,37.5,W150,2025-01-08,4,0
Influenza A virus,2025-01-13,35.6,W151,2025-01-13,5,0
Influenza A virus,2025-01-20,34.6,W152,2025-01-20,6,0
Influenza A virus,2025-01-27,34.9,W153,2025-01-27,7,0
Influenza A virus,2025-02-03,35.4,W154,2025-02-03,8,0
Influenza A virus,2025-02-10,34.5,W155,2025-02-10,9,0
Influenza A virus,2025-02-17,35,W156,2025-02-17,10,0
Influenza A virus,2025-02-20,33.8,W156,2025-02-17,10,3
Influenza A virus,2025-02-24,35.3,W157,2025-02-24,11,0
Influenza A virus,2025-03-10,36.5,W159,2025-03-10,13,0
Influenza A virus,2025-03-17,39.3,W160,2025-03-17,14,0
Influenza A virus,2025-03-24,45,W161,2025-03-24,15,0
Influenza A virus,2025-03-31,37.4,W162,2025-03-31,16,0
Influenza A virus,2025-04-02,39.2,W162,2025-03-31,16,2
Influenza A virus,2025-04-09,39.2,W163,2025-04-07,17,2
Influenza A virus,2025-04-16,39.6,W164,2025-04-16,18,0
Influenza A virus,2025-04-21,45,W165,2025-04-23,19,2
Influenza A virus,2025-04-28,45,W165,2025-04-23,19,5
